Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/posts/43,12,0,18,18.40882499982399,16.73209999989922,22.464999999101565,329.0,0.20202720537796554,0.0,18,19,19,19,20,22,22,22,22,22,22
GET,/posts/44,3,0,17.128099999354163,17.38349999989926,17.128099999354163,17.67900000049849,249.0,0.050506801344491384,0.0,17,17,18,18,18,18,18,18,18,18,18
GET,/posts/45,7,0,17,17.680885714201263,16.166399999747227,21.97829999931855,237.0,0.11784920313714656,0.0,17,17,17,17,22,22,22,22,22,22,22
GET,/posts/46,7,0,19,18.95227142865354,16.649400000460446,23.754900000312773,208.0,0.11784920313714656,0.0,19,19,19,19,24,24,24,24,24,24,24
GET,/posts/47,9,0,18,19.888188889025415,15.456500000254891,25.617500000407745,265.0,0.15152040403347414,0.0,18,21,23,25,26,26,26,26,26,26,26
GET,/posts/48,14,0,18,21.058349999943207,15.494199999920966,61.47849999979371,263.0,0.23569840627429312,0.0,18,19,19,20,21,61,61,61,61,61,61
GET,/posts/49,6,0,17,16.90258333322466,15.82700000017212,18.369499999607797,274.0,0.10101360268898277,0.0,17,17,17,17,18,18,18,18,18,18,18
GET,/posts/5,6,0,19,19.137650000023616,17.196400000102585,21.180400000048394,225.0,0.10101360268898277,0.0,20,20,20,20,21,21,21,21,21,21,21
GET,/posts/50,8,0,17,18.13566249984433,15.569399999549205,21.925000000010186,333.0,0.13468480358531035,0.0,17,18,21,21,22,22,22,22,22,22,22
GET,/posts/51,3,0,18,17.660066666697578,16.1934999996447,19.113800000013725,236.0,0.050506801344491384,0.0,18,18,19,19,19,19,19,19,19,19,19
GET,/posts/52,6,0,17,17.752766666641644,15.866799999457726,21.85170000029757,285.0,0.10101360268898277,0.0,18,18,18,18,22,22,22,22,22,22,22
GET,/posts/53,6,0,17,18.93413333315645,16.788299999461742,27.0410000002812,253.0,0.10101360268898277,0.0,18,18,18,18,27,27,27,27,27,27,27
GET,/posts/54,5,0,18,18.644339999627846,17.323499999292835,21.972099999402417,234.0,0.08417800224081898,0.0,18,19,19,22,22,22,22,22,22,22,22
GET,/posts/55,8,0,17,41.08101250005802,16.810899999654794,200.2812000000631,240.0,0.13468480358531035,0.0,18,21,21,21,200,200,200,200,200,200,200
GET,/posts/56,9,0,18,23.14845555560573,16.113799999402545,63.440900000387046,247.0,0.15152040403347414,0.0,18,19,20,21,63,63,63,63,63,63,63
GET,/posts/57,3,0,19,18.632900000132697,16.620899999907124,20.363300000099116,206.0,0.050506801344491384,0.0,19,19,20,20,20,20,20,20,20,20,20
GET,/posts/58,10,0,17,20.286160000159725,15.556500000457163,49.782100000811624,223.0,0.16835600448163796,0.0,18,18,18,18,50,50,50,50,50,50,50
GET,/posts/59,9,0,17,17.34595555555845,15.598800000589108,21.768900000097346,309.0,0.15152040403347414,0.0,17,17,17,18,22,22,22,22,22,22,22
GET,/posts/6,6,0,18,39.93559999995947,15.757199999825389,149.87740000015037,288.0,0.10101360268898277,0.0,19,19,20,20,150,150,150,150,150,150,150
GET,/posts/60,7,0,18,23.088714285742235,16.002899999875808,54.11389999972016,268.0,0.11784920313714656,0.0,18,20,20,20,54,54,54,54,54,54,54
GET,/posts/61,5,0,17,19.75804000012431,16.716600000108883,24.548600000343868,279.0,0.08417800224081898,0.0,17,24,24,25,25,25,25,25,25,25,25
GET,/posts/62,9,0,18,22.739433333198477,15.897500000392029,56.33359999956156,252.0,0.15152040403347414,0.0,18,19,21,22,56,56,56,56,56,56,56
GET,/posts/63,4,0,18,18.289924999862706,16.570300000239513,20.594200000232377,340.0,0.06734240179265517,0.0,18,18,21,21,21,21,21,21,21,21,21
GET,/posts/64,5,0,17,17.505460000029416,16.067999999904714,21.14110000002256,225.0,0.08417800224081898,0.0,17,17,17,21,21,21,21,21,21,21,21
GET,/posts/65,6,0,18,18.963466666567303,17.450800000005984,22.958799999287294,264.0,0.10101360268898277,0.0,18,18,19,19,23,23,23,23,23,23,23
GET,/posts/66,5,0,18,18.253720000029716,16.53820000046835,20.98630000000412,234.0,0.08417800224081898,0.0,18,19,19,21,21,21,21,21,21,21,21
GET,/posts/67,4,0,17,18.05435000005673,16.56650000040827,19.228299999667797,266.0,0.06734240179265517,0.0,19,19,19,19,19,19,19,19,19,19,19
GET,/posts/68,10,0,17,16.898609999952896,16.154199999618868,18.26470000014524,236.0,0.16835600448163796,0.0,17,17,17,18,18,18,18,18,18,18,18
GET,/posts/69,4,0,17,20.147274999999354,16.50950000021112,26.380199999948672,311.0,0.06734240179265517,0.0,21,21,26,26,26,26,26,26,26,26,26
